Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,714.725098,741.843079,713.239197,738.574036,719.664612,16542604
2017-07-10,740.530518,743.403259,737.558655,739.416077,720.485168,1617344
2017-07-11,743.452820,745.136841,736.518555,740.159058,721.209045,9689441
2017-07-12,742.660339,755.340149,741.719238,748.455383,729.293030,7893715
2017-07-13,747.291443,755.340149,746.003601,753.903748,739.988586,10619232
2017-07-14,752.863586,760.788513,750.659485,759.674072,745.652344,9474992
2017-07-17,761.283813,772.477661,761.283813,768.589539,754.403320,8652868
2017-07-18,766.137756,768.614319,748.405884,752.814087,738.919067,9063934
2017-07-19,749.198364,761.779114,749.198364,759.277832,745.263489,5441174
2017-07-20,762.645874,767.722778,754.696228,757.271790,743.294495,6288420
2017-07-21,767.722778,788.376953,765.221436,785.058411,770.568176,44831188
2017-07-24,792.487976,804.821106,785.058411,800.041382,785.274597,20042658
2017-07-25,804.722046,804.845886,791.299255,793.552917,778.905945,9259100
2017-07-26,794.568298,807.297607,793.032837,803.756165,788.920837,10131916
2017-07-27,806.356567,808.090088,786.717712,789.912415,775.332581,8495918
2017-07-28,788.154114,795.435059,781.591309,789.739075,775.162537,6614152
2017-07-31,793.453857,801.799744,790.506775,800.016663,785.250305,7645862
2017-08-01,803.756165,803.756165,788.277893,794.271118,779.610840,5681949
2017-08-02,797.441040,810.170410,796.500000,806.950928,792.056702,9592846
2017-08-03,805.786926,824.633301,800.932983,817.302795,802.217407,9094953
2017-08-04,823.692200,823.692200,799.967102,803.458984,788.629150,8574605
2017-08-07,808.139648,808.139648,798.704102,800.586243,785.809448,4401364
2017-08-08,801.403503,802.914185,785.949951,793.751038,779.100342,5058636
2017-08-09,793.230957,802.394104,785.058411,791.893616,777.277283,4816513
2017-08-10,789.045654,795.781799,781.566528,784.736511,770.252197,4701836
2017-08-11,768.193298,782.581909,759.302551,765.865356,751.729431,7843781
2017-08-14,773.171082,784.810791,773.171082,779.139526,764.758545,6202842
2017-08-16,778.619446,780.600708,767.821838,775.697144,761.379639,6265622
2017-08-17,777.133545,791.324036,773.245422,776.192444,761.865906,7304951
2017-08-18,774.657043,781.492249,769.282959,780.303528,765.901123,3662412
2017-08-21,781.096008,784.637451,772.799622,774.855164,760.553284,3495195
2017-08-22,778.619446,782.532349,770.719360,772.700562,758.438416,4399773
2017-08-23,775.078064,785.826172,769.282959,783.597290,769.134033,3839702
2017-08-24,787.534973,789.070374,774.904663,776.663025,762.327759,5839979
2017-08-28,782.111389,783.547729,773.270142,775.920044,761.598511,5684028
2017-08-29,773.592102,776.390564,757.816650,758.881531,744.874512,6998558
2017-08-30,766.509277,777.034485,763.388855,774.706543,760.407410,4769560
2017-08-31,780.105408,791.224976,779.610046,789.763855,775.186768,11585780
2017-09-01,792.413696,800.710083,791.992676,797.490601,782.770935,7121827
2017-09-04,800.165222,810.393311,790.432495,799.100342,784.350952,9950182
2017-09-05,807.347168,809.749390,802.914185,808.634949,793.709595,11637538
2017-09-06,805.564087,818.491516,803.780945,814.974854,799.932434,22496263
2017-09-07,815.272034,824.682861,807.347168,810.418030,795.459717,7478761
2017-09-08,812.300232,815.519714,804.474365,809.229309,794.292969,6114140
2017-09-11,813.588013,819.085876,808.882629,810.219910,795.265320,5856706
2017-09-12,815.024353,817.253235,809.328369,816.015015,800.953430,2999837
2017-09-13,816.262634,851.825562,814.281433,841.027893,825.504639,13557530
2017-09-14,847.764038,853.410522,834.093628,835.926270,820.497131,5476914
2017-09-15,834.093628,844.841736,826.911682,833.895508,818.503845,13196770
2017-09-18,842.018494,843.058655,835.183289,837.610291,822.150146,2336110
2017-09-19,840.730713,840.780273,829.140564,830.725525,815.392456,3562177
2017-09-20,848.061218,864.307251,837.164490,839.195251,823.705811,11511053
2017-09-21,839.046692,843.702515,828.397644,833.449707,818.066345,5976672
2017-09-22,832.013367,832.013367,805.564087,809.724609,794.779114,5673719
2017-09-25,807.347168,820.175537,797.639160,813.835632,798.814270,6566972
2017-09-26,813.984253,819.283997,804.573425,812.399292,797.404480,4875350
2017-09-27,817.847595,817.946655,788.030273,791.645996,777.034241,8514143
2017-09-28,792.141296,795.360779,772.873901,779.065247,764.685608,13636223
2017-09-29,784.315491,785.949951,771.784241,773.567383,759.289307,7691452
2017-10-03,787.534973,796.301880,777.975586,790.853516,776.256287,8466559
2017-10-04,791.695496,817.203735,788.129333,811.161011,796.189087,8725859
2017-10-05,817.253235,820.670837,810.962891,816.411255,801.342285,4906551
2017-10-06,816.262634,831.468506,814.875793,829.190125,813.885376,5998431
2017-10-09,831.121826,831.914307,820.225098,822.850220,807.662476,4084462
2017-10-10,823.196899,839.343872,823.196899,835.282349,819.865112,6798826
2017-10-11,837.362610,850.339600,828.149963,832.260986,816.899597,7116625
2017-10-12,834.192688,868.566833,834.192688,864.554871,848.597351,8603714
2017-10-13,871.043396,882.336304,865.149231,868.220154,852.194946,9926723
2017-10-16,870.746216,883.624146,853.212402,868.566833,852.535278,14772250
2017-10-17,869.755615,875.699219,859.057007,866.139832,850.153076,6414314
2017-10-18,869.161194,909.280945,866.783752,905.912842,889.191956,16924095
2017-10-19,907.200623,913.243347,894.520813,901.356018,884.719238,3698813
2017-10-23,904.327881,935.829285,900.563538,930.925781,913.743164,12670626
2017-10-24,938.801086,938.801086,919.484192,925.477417,908.395386,6395360
2017-10-25,931.272461,937.018005,920.771973,931.074341,913.889038,4620435
2017-10-26,931.173401,948.806274,922.257935,938.503906,921.181458,7771680
2017-10-27,941.079529,947.716614,917.007690,921.118713,904.117126,5306577
2017-10-30,925.229736,936.671265,921.861694,933.649902,916.416992,3610434
2017-10-31,936.076904,936.869385,923.446655,932.015442,914.812805,4386549
2017-11-01,938.850647,948.806274,936.869385,943.605591,926.189026,8109185
2017-11-02,943.853210,947.518494,935.383484,937.711426,920.403625,4743147
2017-11-03,946.973633,946.973633,931.322021,936.423645,919.139526,2214524
2017-11-06,933.649902,933.649902,920.276672,923.743835,906.693909,4503082
2017-11-07,924.585876,926.220337,894.570374,898.186096,881.607849,9436552
2017-11-08,894.025513,897.492676,875.798279,879.463562,863.230835,8192911
2017-11-09,886.348328,901.356018,883.673645,892.044312,875.579407,6925831
2017-11-10,892.490112,892.490112,870.944336,875.550659,859.390198,6425509
2017-11-13,876.689880,883.525085,865.297852,867.031433,851.028137,4194396
2017-11-14,866.783752,886.595947,864.802551,878.373901,862.161255,5760193
2017-11-15,876.194580,882.237244,869.706055,875.402039,859.244324,7048053
2017-11-16,877.185181,897.492676,877.185181,895.362854,878.836670,6996737
2017-11-17,910.321045,916.215210,899.969177,903.337280,886.663940,5639193
2017-11-20,897.690796,915.670349,896.502075,912.203247,895.366211,4260195
2017-11-21,918.097351,930.826721,916.809570,923.793335,906.742432,6037454
2017-11-22,928.647339,929.836060,914.778809,922.010254,904.992249,5103410
2017-11-23,922.257935,940.980469,917.948792,938.107666,920.792542,7398598
2017-11-24,941.079529,950.490295,938.503906,942.169189,924.779114,6455055
2017-11-27,938.355347,948.509094,935.135864,942.416809,925.022156,4724436
2017-11-28,940.930908,942.416809,929.291260,934.491943,917.243530,4685893
2017-11-29,933.006042,941.079529,932.164001,937.117065,919.820251,3709698
2017-11-30,932.609802,932.609802,910.865906,912.896667,896.046875,9524326
2017-12-01,915.769409,922.505554,899.176697,901.554138,884.913696,5129555
2017-12-04,904.922241,905.219421,888.923889,893.133972,876.648987,4662629
2017-12-05,892.589172,912.104187,887.041748,905.120361,888.414124,8448505
2017-12-06,901.455078,921.564514,900.266357,917.948792,901.005798,11112030
2017-12-07,921.316833,927.210938,914.333008,922.802734,905.770081,5581979
2017-12-08,925.081177,928.152039,910.420105,912.351807,895.512085,5641459
2017-12-11,913.788208,917.304871,904.971802,907.547363,890.796326,4980620
2017-12-12,907.349243,920.276672,899.473877,907.002502,890.261536,7283405
2017-12-13,908.290344,916.264709,902.148560,906.061462,889.337830,4221739
2017-12-14,910.370605,916.215210,900.216858,912.847107,895.998230,5068725
2017-12-15,922.257935,924.189636,909.082825,911.113525,894.296631,11264479
2017-12-18,903.386780,923.892395,854.549744,912.351807,895.512085,8575323
2017-12-19,914.927429,918.295471,911.361206,917.255310,900.325073,4103513
2017-12-20,917.205811,918.691711,908.389404,909.528564,892.741028,4819670
2017-12-21,909.825745,915.274109,901.455078,904.377380,887.684814,4186472
2017-12-22,906.061462,913.738647,900.761658,911.757446,894.928711,4918863
2017-12-26,916.165649,930.083740,909.528564,921.069214,904.068604,5351708
2017-12-27,924.239136,928.696899,910.370605,915.075989,898.186035,4393640
2017-12-28,916.561890,925.625977,910.469666,915.521790,898.623596,7158735
2017-12-29,917.800171,923.545715,909.875305,912.401367,895.560730,5117894
2018-01-01,914.035828,914.035828,898.978577,901.207458,884.573425,4362651
2018-01-02,904.426941,910.915405,897.888916,902.594299,885.934631,4383980
2018-01-03,916.314270,917.304871,904.476440,906.210022,889.483643,6233847
2018-01-04,909.528564,913.144287,907.101563,911.658386,894.831482,4157621
